,fecha,SO2,NO2,CO,O3,PM10,PM2.5
182,2017-07-02,0.0045599999999999,0.0252399999999999,0.4039999999999999,0.0280799999999999,39.6,27.84
183,2017-07-03,0.0045999999999999,0.0277599999999999,0.432,0.0384166666666666,39.91666666666666,28.76
184,2017-07-04,0.0060799999999999,0.0334399999999999,0.5,0.07148,50.75,35.96
185,2017-07-05,0.0073199999999999,0.0454399999999999,0.572,0.1101666666666666,61.41666666666666,44.32
186,2017-07-06,0.0066399999999999,0.0556799999999999,0.696,0.11164,70.92,51.2
187,2017-07-07,0.0048799999999999,0.0349199999999999,0.5319999999999999,0.0263199999999999,40.28,24.32
188,2017-07-08,0.0052799999999999,0.0258399999999999,0.4639999999999999,0.0347999999999999,45.36,31.8
189,2017-07-09,0.0049199999999999,0.0390399999999999,0.556,0.0467999999999999,44.72,33.6
190,2017-07-10,0.0042499999999999,0.0362399999999999,0.516,0.0247999999999999,26.32,17.8
191,2017-07-11,0.0046666666666666,0.0343199999999999,0.54,0.08308,96.2,60.24
192,2017-07-12,0.0048749999999999,0.0362399999999999,0.5920000000000001,0.07748,86.0,52.0
193,2017-07-13,0.0061666666666666,0.0440399999999999,0.616,0.09984,75.96,53.84
194,2017-07-14,0.0071599999999999,0.04216,0.696,0.0831599999999999,68.04,48.76
195,2017-07-15,0.0048399999999999,0.0299999999999999,0.4679999999999999,0.0347199999999999,35.72,24.08
196,2017-07-16,0.0056399999999999,0.0269599999999999,0.488,0.0437199999999999,30.76,22.04
197,2017-07-17,0.0048799999999999,0.03344,0.488,0.0393199999999999,33.12,22.4
198,2017-07-18,0.0053199999999999,0.0414799999999999,0.528,0.06304,40.08,29.56
199,2017-07-19,0.0054399999999999,0.0422399999999999,0.6,0.0909999999999999,58.96,42.28
200,2017-07-20,0.0084799999999999,0.0419999999999999,0.6679999999999999,0.0942,67.52,52.88
201,2017-07-21,0.0071199999999999,0.0374399999999999,0.652,0.0788,74.84,56.16
202,2017-07-22,0.0075199999999999,0.0330799999999999,0.628,0.0693599999999999,72.8,54.52
203,2017-07-23,0.0058399999999999,0.0316399999999999,0.6,0.0452916666666666,76.52,51.68
204,2017-07-24,0.0045599999999999,0.0502399999999999,0.7759999999999999,0.0323333333333333,46.36,31.08
205,2017-07-25,0.0040799999999999,0.0362799999999999,0.66,0.0481999999999999,45.0,25.32
206,2017-07-26,0.0044399999999999,0.0361199999999999,0.456,0.0755199999999999,32.68,20.4
207,2017-07-27,0.0046799999999999,0.0541999999999999,0.568,0.0519199999999999,51.84,34.04
208,2017-07-28,0.0043199999999999,0.04124,0.6559999999999999,0.0253999999999999,50.12,32.6
209,2017-07-29,0.00408,0.0258399999999999,0.524,0.0454583333333333,27.12,15.64
210,2017-07-30,0.0043599999999999,0.0335999999999999,0.516,0.07425,36.96,26.4
211,2017-07-31,0.0044399999999999,0.0409999999999999,0.648,0.0213999999999999,38.72,25.64
212,2017-08-01,0.0050399999999999,0.0459599999999999,0.62,0.0638799999999999,41.4,28.08
213,2017-08-02,0.0044799999999999,0.0503599999999999,0.66,0.0831599999999999,49.2,34.12
214,2017-08-03,0.0046399999999999,0.0397599999999999,0.584,0.076,42.08,27.04
215,2017-08-04,0.0045599999999999,0.0362799999999999,0.508,0.0919199999999999,47.28,33.12
216,2017-08-05,0.0046799999999999,0.03956,0.556,0.0914399999999999,43.0,30.72
217,2017-08-06,0.0051599999999999,0.0337199999999999,0.524,0.06488,47.32,36.48
218,2017-08-07,0.0046799999999999,0.0268799999999999,0.476,0.0820399999999999,46.08,32.72
219,2017-08-08,0.0066399999999999,0.04,0.688,0.0804799999999999,58.72,42.16
220,2017-08-09,0.00528,0.0362799999999999,0.596,0.06236,50.4,36.333333333333336
221,2017-08-10,0.0039599999999999,0.0277599999999999,0.468,0.0418799999999999,16.16,9.8
222,2017-08-11,0.0041599999999999,0.0445999999999999,0.488,0.0475999999999999,25.52,16.0
223,2017-08-12,0.0041199999999999,0.0327599999999999,0.452,0.0489999999999999,21.28,11.76
224,2017-08-13,0.0040799999999999,0.0188399999999999,0.38,0.0336399999999999,15.48,9.52
225,2017-08-14,0.0040399999999999,0.0197199999999999,0.372,0.0175199999999999,15.0,7.8
226,2017-08-15,0.0037999999999999,0.0175999999999999,0.376,0.0149999999999999,11.68,7.04
227,2017-08-16,0.0040399999999999,0.0219199999999999,0.376,0.0189599999999999,13.36,7.72
228,2017-08-17,0.0042799999999999,0.0438,0.6,0.0280799999999999,26.44,16.04
229,2017-08-18,0.0073599999999999,0.0532799999999999,0.652,0.0627999999999999,41.04,30.36
230,2017-08-19,0.0041599999999999,0.0424399999999999,0.608,0.04568,36.96,24.36
231,2017-08-20,0.0037999999999999,0.0235599999999999,0.48,0.0380799999999999,23.0,14.4
232,2017-08-21,0.00552,0.0304399999999999,0.4833333333333333,0.0355599999999999,23.36,15.0
233,2017-08-22,0.0081999999999999,0.0386399999999999,0.52,0.0482399999999999,26.8,16.88
234,2017-08-23,0.0065599999999999,0.0336399999999999,0.612,0.0173999999999999,29.12,17.88
235,2017-08-24,0.0051199999999999,0.0322799999999999,0.632,0.0304799999999999,32.76,16.12
236,2017-08-25,0.0086399999999999,0.0407083333333333,0.7,0.0551599999999999,36.6,20.6
237,2017-08-26,0.0070399999999999,0.03925,0.6,0.0488399999999999,36.6,21.12
238,2017-08-27,0.0049599999999999,0.0402083333333333,0.552,0.0375599999999999,33.44,19.88
239,2017-08-28,0.0066399999999999,0.0510416666666666,0.648,0.03716,46.92,26.6
